ID,Text,# Id,Subject,Object,Predicate,Lexical cue,DeviceID,Supp
P120010_S046,"proval for the minimed 530g system with threshold suspend featuring smartguard technology. this device is indicated for the following: the minimed 530g system is intended for continuous delivery of basal insulin (at user selectable rates) and administration of insulin boluses (in user selectable amounts) for the management of diabetes mellitus in persons, sixteen years of age and older, requiring insulin as well as for the continuous monitoring and trending of glucose levels in the fluid under the skin. the minimed 530g system can be programmed to automatically suspend delivery of insulin when the sensor glucose value falls below a predefined threshold value. the minimed 530g system consists of the following devices that can be used in combination or individually: minimed 530g insulin pump, enlite sensor, enlite serter, the minilink real-time system, the bayer contour nextlink glucose meter, carelink professional therapy management software for diabetes, and carelink personal therapy management software for diabetes. the system requires a prescription. the minimed 530g system is not intended to be used directly for making therapy adjustments, but rather to provide an indication of when a finger stick may be required. all therapy adjustments should be based on measurements obtained using a home glucose monitor and not on values provided by the minimed 530g system.  The minimed 530g system is not intended to be used directly for preventing or treating hypoglycemia but to suspend insulin delivery when the user is unable to respond to thethreshold suspend alarm to take measures to prevent or treat  hypoglycemia himself.  Therapy to prevent or treat hypoglycemia should be administered according to therecommendations of the users health care provid",T4,385-390,age_end,denotes,older,P120010,S046
P120010_S046,"proval for the minimed 530g system with threshold suspend featuring smartguard technology. this device is indicated for the following: the minimed 530g system is intended for continuous delivery of basal insulin (at user selectable rates) and administration of insulin boluses (in user selectable amounts) for the management of diabetes mellitus in persons, sixteen years of age and older, requiring insulin as well as for the continuous monitoring and trending of glucose levels in the fluid under the skin. the minimed 530g system can be programmed to automatically suspend delivery of insulin when the sensor glucose value falls below a predefined threshold value. the minimed 530g system consists of the following devices that can be used in combination or individually: minimed 530g insulin pump, enlite sensor, enlite serter, the minilink real-time system, the bayer contour nextlink glucose meter, carelink professional therapy management software for diabetes, and carelink personal therapy management software for diabetes. the system requires a prescription. the minimed 530g system is not intended to be used directly for making therapy adjustments, but rather to provide an indication of when a finger stick may be required. all therapy adjustments should be based on measurements obtained using a home glucose monitor and not on values provided by the minimed 530g system.  The minimed 530g system is not intended to be used directly for preventing or treating hypoglycemia but to suspend insulin delivery when the user is unable to respond to thethreshold suspend alarm to take measures to prevent or treat  hypoglycemia himself.  Therapy to prevent or treat hypoglycemia should be administered according to therecommendations of the users health care provid",T3,368-373,age_start_unit,denotes,years,P120010,S046
P120010_S046,"proval for the minimed 530g system with threshold suspend featuring smartguard technology. this device is indicated for the following: the minimed 530g system is intended for continuous delivery of basal insulin (at user selectable rates) and administration of insulin boluses (in user selectable amounts) for the management of diabetes mellitus in persons, sixteen years of age and older, requiring insulin as well as for the continuous monitoring and trending of glucose levels in the fluid under the skin. the minimed 530g system can be programmed to automatically suspend delivery of insulin when the sensor glucose value falls below a predefined threshold value. the minimed 530g system consists of the following devices that can be used in combination or individually: minimed 530g insulin pump, enlite sensor, enlite serter, the minilink real-time system, the bayer contour nextlink glucose meter, carelink professional therapy management software for diabetes, and carelink personal therapy management software for diabetes. the system requires a prescription. the minimed 530g system is not intended to be used directly for making therapy adjustments, but rather to provide an indication of when a finger stick may be required. all therapy adjustments should be based on measurements obtained using a home glucose monitor and not on values provided by the minimed 530g system.  The minimed 530g system is not intended to be used directly for preventing or treating hypoglycemia but to suspend insulin delivery when the user is unable to respond to thethreshold suspend alarm to take measures to prevent or treat  hypoglycemia himself.  Therapy to prevent or treat hypoglycemia should be administered according to therecommendations of the users health care provid",T2,360-367,age_start,denotes,16,P120010,S046
P120010_S046,"proval for the minimed 530g system with threshold suspend featuring smartguard technology. this device is indicated for the following: the minimed 530g system is intended for continuous delivery of basal insulin (at user selectable rates) and administration of insulin boluses (in user selectable amounts) for the management of diabetes mellitus in persons, sixteen years of age and older, requiring insulin as well as for the continuous monitoring and trending of glucose levels in the fluid under the skin. the minimed 530g system can be programmed to automatically suspend delivery of insulin when the sensor glucose value falls below a predefined threshold value. the minimed 530g system consists of the following devices that can be used in combination or individually: minimed 530g insulin pump, enlite sensor, enlite serter, the minilink real-time system, the bayer contour nextlink glucose meter, carelink professional therapy management software for diabetes, and carelink personal therapy management software for diabetes. the system requires a prescription. the minimed 530g system is not intended to be used directly for making therapy adjustments, but rather to provide an indication of when a finger stick may be required. all therapy adjustments should be based on measurements obtained using a home glucose monitor and not on values provided by the minimed 530g system.  The minimed 530g system is not intended to be used directly for preventing or treating hypoglycemia but to suspend insulin delivery when the user is unable to respond to thethreshold suspend alarm to take measures to prevent or treat  hypoglycemia himself.  Therapy to prevent or treat hypoglycemia should be administered according to therecommendations of the users health care provid",T1,360-390,age_range,denotes,sixteen years of age and older,P120010,S046
P090022_S011,"proval for modifications to the optic body shape and overalldiameter of your softec hd lens to introduce a lens with an ovoid optic and overall diameter of 12.50 mm and changes to your labeling related to the introduction of the modified lens. the device, as modified, will be marketed under the trade name softec hdo and is indicated for the replacement of the human crystalline lens following phacoemulsifica- tion cataract removal in adults over the age of 21. the lens is  indicated for capsular bag placeme",T3,462-464,age_start,denotes,21,P090022,S011
P090022_S011,"proval for modifications to the optic body shape and overalldiameter of your softec hd lens to introduce a lens with an ovoid optic and overall diameter of 12.50 mm and changes to your labeling related to the introduction of the modified lens. the device, as modified, will be marketed under the trade name softec hdo and is indicated for the replacement of the human crystalline lens following phacoemulsifica- tion cataract removal in adults over the age of 21. the lens is  indicated for capsular bag placeme",T4,446-450,age_end,denotes,older,P090022,S011
P090022_S011,"proval for modifications to the optic body shape and overalldiameter of your softec hd lens to introduce a lens with an ovoid optic and overall diameter of 12.50 mm and changes to your labeling related to the introduction of the modified lens. the device, as modified, will be marketed under the trade name softec hdo and is indicated for the replacement of the human crystalline lens following phacoemulsifica- tion cataract removal in adults over the age of 21. the lens is  indicated for capsular bag placeme",T1,446-464,age_range,denotes,21 years of age or older,P090022,S011
P090022_S011,"proval for modifications to the optic body shape and overalldiameter of your softec hd lens to introduce a lens with an ovoid optic and overall diameter of 12.50 mm and changes to your labeling related to the introduction of the modified lens. the device, as modified, will be marketed under the trade name softec hdo and is indicated for the replacement of the human crystalline lens following phacoemulsifica- tion cataract removal in adults over the age of 21. the lens is  indicated for capsular bag placeme",T2,439-445,age_category,denotes,adults,P090022,S011
P060035_S000,"proval for the architect core-m reagent kitarchitect core-m calibrators andarchitect core-m controls.  The devices is indicted for: the architect core-m assay is a chemiluminescent microparticle immunoassay (cmia) for the qualitative detection of igm antibody to hepatitis b core antigen (igm anti-hbc) in human adult and pediatric serum or plasma (dipotassium edta, lithium heparin, and sodium heparin) and neonatal serum. a test for igm anti-hbc is indicated as an aid in the diagnosis of acute or recent hepatitis b virus (hbv) infection in conjunction with other laboratory results and clinical information.  The architect core-m calibrators are used for the calibration of the architect i system when the system is used for the qualitative detection of igm antibody to hepatitis b core antigen (igm anti-hbc) using the architect core-m reagent kit. the performance of the architect core-m calibrators has not been established with any other igm anti-hbc assays. the architect core-m controls are used for monitoring the performance of the architect i system when used for the qualitative detection of igm antibody to hepatitis b core antigen (igm anti-hbc) in human adult serum and plasma when using the architect core-m reagent kit. the performance of the architect core-m controls has not been established with any other igm anti-hbc assa",T4,410-418,age_category,denotes,neonate,P060035,S000
P060035_S000,"proval for the architect core-m reagent kitarchitect core-m calibrators andarchitect core-m controls.  The devices is indicted for: the architect core-m assay is a chemiluminescent microparticle immunoassay (cmia) for the qualitative detection of igm antibody to hepatitis b core antigen (igm anti-hbc) in human adult and pediatric serum or plasma (dipotassium edta, lithium heparin, and sodium heparin) and neonatal serum. a test for igm anti-hbc is indicated as an aid in the diagnosis of acute or recent hepatitis b virus (hbv) infection in conjunction with other laboratory results and clinical information.  The architect core-m calibrators are used for the calibration of the architect i system when the system is used for the qualitative detection of igm antibody to hepatitis b core antigen (igm anti-hbc) using the architect core-m reagent kit. the performance of the architect core-m calibrators has not been established with any other igm anti-hbc assays. the architect core-m controls are used for monitoring the performance of the architect i system when used for the qualitative detection of igm antibody to hepatitis b core antigen (igm anti-hbc) in human adult serum and plasma when using the architect core-m reagent kit. the performance of the architect core-m controls has not been established with any other igm anti-hbc assa",T3,324-333,age_category,denotes,pediatric,P060035,S000
