# Id	Subject	Object	Predicate	Lexical cue
T18	658-663	age_end	denotes	older
T17	649-654	age_start_unit	denotes	years
T6	646-663	age_range	denotes	22 years or older
T16	646-648	age_start	denotes	22
T9	634-640	age_category	denotes	adults
T15	427-432	age_end	denotes	older
T14	418-423	age_start_unit	denotes	years
T4	415-432	age_range	denotes	22 years or older
T13	415-417	age_start	denotes	22
T8	403-409	age_category	denotes	adults
T10	224-229	age_end	denotes	older
T12	215-220	age_start_unit	denotes	years
T2	212-229	age_range	denotes	22 years or older
T11	212-214	age_start	denotes	22
T7	200-206	age_category	denotes	adults
