pma_number,supplement_number,applicant,street_1,street_2,city,state,zip,zip_ext,generic_name,trade_name,product_code,advisory_committee,advisory_committee_description,supplement_type,supplement_reason,expedited_review_flag,date_received,decision_date,docket_number,fed_reg_notice_date,decision_code,ao_statement,device_name,medical_specialty_description,regulation_number,device_class
P120010,S046,MEDTRONIC Inc.,18000 DEVONSHIRE STREET,,NORTHRIDGE,CA,91325,1219,"Automated insulin dosing , threshold suspend",MINIMED 530G INSULIN PUMP,OZO,CH,Clinical Chemistry,Panel Track,Labeling Change - Indications/instructions/shelf life/tradename,N,2014-12-10,2015-10-02,15M-4013,2015-11-02,APPR,"APPROVAL FOR THE MINIMED 530G SYSTEM WITH THRESHOLD SUSPEND FEATURING SMARTGUARD TECHNOLOGY. THIS DEVICE IS INDICATED FOR THE FOLLOWING:THE MINIMED 530G SYSTEM IS INTENDED FOR CONTINUOUS DELIVERY OF BASAL INSULIN (AT USER SELECTABLE RATES) AND ADMINISTRATION OF INSULIN BOLUSES (IN USER SELECTABLE AMOUNTS) FOR THE MANAGEMENT OF DIABETES MELLITUS IN PERSONS, SIXTEEN YEARS OF AGE AND OLDER, REQUIRING INSULIN AS WELL AS FOR THE CONTINUOUS MONITORING AND TRENDING OF GLUCOSE LEVELS IN THE FLUID UNDER THE SKIN. THE MINIMED 530G SYSTEM CAN BE PROGRAMMED TO AUTOMATICALLY SUSPEND DELIVERY OF INSULIN WHEN THE SENSOR GLUCOSE VALUE FALLS BELOW A PREDEFINED THRESHOLD VALUE. THE MINIMED 530G SYSTEM CONSISTS OF THE FOLLOWING DEVICES THAT CAN BE USED IN COMBINATION OR INDIVIDUALLY: MINIMED 530G INSULIN PUMP, ENLITE SENSOR, ENLITE SERTER, THE MINILINK REAL-TIME SYSTEM, THE BAYER CONTOUR NEXTLINK GLUCOSE METER, CARELINK PROFESSIONAL THERAPY MANAGEMENT SOFTWARE FOR DIABETES, AND CARELINK PERSONAL THERAPY MANAGEMENT SOFTWARE FOR DIABETES. THE SYSTEM REQUIRES A PRESCRIPTION.THE MINIMED 530G SYSTEM IS NOT INTENDED TO BE USED DIRECTLY FOR MAKING THERAPY ADJUSTMENTS, BUT RATHER TO PROVIDE AN INDICATION OF WHEN A FINGER STICK MAY BE REQUIRED. ALL THERAPY ADJUSTMENTS SHOULD BE BASED ON MEASUREMENTS OBTAINED USING A HOME GLUCOSE MONITOR AND NOT ON VALUES PROVIDED BY THE MINIMED 530G SYSTEM.  THE MINIMED 530G SYSTEM IS NOT INTENDED TO BE USED DIRECTLY FOR PREVENTING OR TREATING HYPOGLYCEMIA BUT TO SUSPEND INSULIN DELIVERY WHEN THE USER IS UNABLE TO RESPOND TO THETHRESHOLD SUSPEND ALARM TO TAKE MEASURES TO PREVENT OR TREAT  HYPOGLYCEMIA HIMSELF.  THERAPY TO PREVENT OR TREAT HYPOGLYCEMIA SHOULD BE ADMINISTERED ACCORDING TO THERECOMMENDATIONS OF THE USER¿S HEALTH CARE PROVIDER.","Automated Insulin Dosing , Threshold Suspend",Unknown,,3
P090022,S011,"LENSTEC, INC.",1765 COMMERCE AVE N,,ST. PETERSBURG,FL,33716,,intraocular lens,SOFTEC HD POSTERIOR CHAMBER INTRAOCULAR LENS (PCIOL),HQL,OP,Ophthalmic,Real-Time Process,Change Design/Components/Specifications/Material,N,2012-03-14,2012-06-11,,,APPR,"APPROVAL FOR MODIFICATIONS TO THE OPTIC BODY SHAPE AND OVERALLDIAMETER OF YOUR SOFTEC HD LENS TO INTRODUCE A LENS WITH AN OVOID OPTIC AND OVERALL DIAMETER OF 12.50 MM AND CHANGES TO YOUR LABELING RELATED TO THE INTRODUCTION OF THE MODIFIED LENS. THE DEVICE, AS MODIFIED, WILL BE MARKETED UNDER THE TRADE NAME SOFTEC HDO AND IS INDICATED FOR THE REPLACEMENT OF THE HUMAN CRYSTALLINE LENS FOLLOWING PHACOEMULSIFICA- TION CATARACT REMOVAL IN ADULTS OVER THE AGE OF 21. THE LENS IS  INDICATED FOR CAPSULAR BAG PLACEMENT.",Intraocular Lens,Ophthalmic,886.3600,3
P060035,,Abbott Laboratories,100 ABBOTT PARK RD.,"AP5N-2, DEPT. 09VB",ABBOTT PARK,IL,60064,3500,"Test, hepatitis b (b core, be antigen, be antibody, b core igm)",ARCHITECT CORE-M REAGENT KIT/CALIBRATORS/CONTROLS,LOM,MI,Microbiology,,,N,2006-12-01,2007-11-06,07M-0447,2007-11-19,APPR,"APPROVAL FOR THE ARCHITECT CORE-M REAGENT KITARCHITECT CORE-M CALIBRATORS ANDARCHITECT CORE-M CONTROLS.  THE DEVICES IS INDICTED FOR: THE ARCHITECT CORE-M ASSAY IS A CHEMILUMINESCENT MICROPARTICLE IMMUNOASSAY (CMIA) FOR THE QUALITATIVE DETECTION OF IGM ANTIBODY TO HEPATITIS B CORE ANTIGEN (IGM ANTI-HBC) IN HUMAN ADULT AND PEDIATRIC SERUM OR PLASMA (DIPOTASSIUM EDTA, LITHIUM HEPARIN, AND SODIUM HEPARIN) AND NEONATAL SERUM. A TEST FOR IGM ANTI-HBC IS INDICATED AS AN AID IN THE DIAGNOSIS OF ACUTE OR RECENT HEPATITIS B VIRUS (HBV) INFECTION IN CONJUNCTION WITH OTHER LABORATORY RESULTS AND CLINICAL INFORMATION.  THE ARCHITECT CORE-M CALIBRATORS ARE USED FOR THE CALIBRATION OF THE ARCHITECT I SYSTEM WHEN THE SYSTEM IS USED FOR THE QUALITATIVE DETECTION OF IGM ANTIBODY TO HEPATITIS B CORE ANTIGEN (IGM ANTI-HBC) USING THE ARCHITECT CORE-M REAGENT KIT. THE PERFORMANCE OF THE ARCHITECT CORE-M CALIBRATORS HAS NOT BEEN ESTABLISHED WITH ANY OTHER IGM ANTI-HBC ASSAYS. THE ARCHITECT CORE-M CONTROLS ARE USED FOR MONITORING THE PERFORMANCE OF THE ARCHITECT I SYSTEM WHEN USED FOR THE QUALITATIVE DETECTION OF IGM ANTIBODY TO HEPATITIS B CORE ANTIGEN (IGM ANTI-HBC) IN HUMAN ADULT SERUM AND PLASMA WHEN USING THE ARCHITECT CORE-M REAGENT KIT. THE PERFORMANCE OF THE ARCHITECT CORE-M CONTROLS HAS NOT BEEN ESTABLISHED WITH ANY OTHER IGM ANTI-HBC ASSAYS.","Test, Hepatitis B (B Core, Be Antigen, Be Antibody, B Core Igm)",Unknown,,3
P160029,,"PHILIPS MEDICAL SYSTEMS, INC.",22100 BOTHELL -EVERETT HWY,,BOTHELL,WA,98021,,Over-the-counter automated external defibrillator,HeartStart OnSite Defibrillator (Model M5066A) and HeartStart Home Defibrillator (Model M5068A),NSA,CV,Cardiovascular,,,N,2016-07-29,2019-06-06,19M-2782,2019-07-02,APPR,"Approval for the HeartStart OnSite Defibrillator (Model M5066A) and HeartStart Home Defibrillator (Model M5068A).  The HeartStart OnSite Defibrillator (M5066A) is indicated for use on potential victims of sudden cardiac arrest with the following symptoms:1) Unconsciousness; and 2) Absence of normal breathing.The HeartStart OnSite (Model M5066A) is indicated for adults over 55 pounds (25 kg). It is also indicated for infants and children under 55 lbs (25 kg) or 8 years old when used with the optional infant/child SMART pads. If Infant/Child SMART pads are not available, or you are uncertain of the childs age or weight, proceed with treatment using adult SMART pads.The HeartStart Home Defibrillator (M5068A) is indicated for use on potential victims of cardiac arrest with the following symptoms: 1) Unconsciousness; and 2) Absence of normal breathing. The HeartStart Home (M5068A) is indicated for adults over 55 pounds (25 kg).  They are also indicated for infants and children under 55 lbs (25 kg) or 8 years old when used with the optional infant/child SMART pads.  If Infant/Child SMART pads are not available, or you are uncertain of the childs age or weight, proceed with treatment using adult SMART pads.",Over-The-Counter Automated External Defibrillator,Cardiovascular,870.5310,3
P990052,S019,Med-el Elektromedizinische Gerate GmbH,FUERSTENWEG 77A,A-6020,"INNSBRUCK, TIROL",,,,"Implant, hearing, active, middle ear, partially implanted",VIBRANT SOUNDBRIDGE EAR IMPLANT SYSTEM,MPV,EN,"Ear, Nose, Throat",Real-Time Process,Change Design/Components/Specifications/Material,N,2008-01-22,2008-03-25,,,APPR,"APPROVAL FOR A MINOR SOFTWARE CHANGE TO THE CURRENTLY APPROVED SYMFIT MODULE AND IS INDICATED FOR ADULTS, 18 YEARS OF AGE OR OLDER, WHO HAVE A MODERATE TO SEVERE SENSORINEURAL HEARING LOSS.  PRIOR TO RECEIVING THE DEVICE, IT IS RECOMMENDED THAT AN INDIVIDUAL HAVE EXPERIENCE WITH APPROPRIATELY FIT HEARING AIDS.","Implant, Hearing, Active, Middle Ear, Partially Implanted",Unknown,,3
P990056,,ROCHE DIAGNOSTICS CORP.,9115 HAGUE RD.,,INDIANAPOLIS,IN,46250,,"Total, prostate specific antigen (noncomplexed & complexed) for detection of prostate cancer",ELECSYS TOTAL PSA IMMUNOASSAY AND TOTAL PSA CALSET,MTF,IM,Immunology,,,N,1999-10-04,2000-11-22,00M-1660,2000-12-12,APPR,"APPROVAL FOR THE ELECSYS(R) TOTAL PSA IMMUNOASSAY AND ELECSYS(R) TOTAL PSA CALSET.  THE DEVICE, A QUANTITATIVE IN VITRO DIAGNOSTIC TEST FOR TOTAL PROSTATE-SPECIFIC ANTIGEN (TPSA) IN HUMAN SERUM AND PLASMA IS INDICATED FOR THE MEASUREMENT OF TOTAL PSA IN CONJUNCTION WITH DOGOTA; RECTAL EXAM (DRE) AS AN AID IN THE DETECTION OF PROSTATE CANCER IN MEN AGED 50 YEARS OR OLDER.  PROSTATE BIOPSY IS REQUIRED FOR THE DIAGNOSIS OF PROSTATE CANCER.  THE TEST ID FURTHER INDICATED FOR SERIAL MEASUREMENT OF TPSA TO AID IN THE MANAGEMENT OF PROSTATE CANCER PATIENTS.  THE ELECTOCHEMILUMINESCENCE IMMUNOASSAY ""ECLIA"" IS INTENDED FOR USE ON THE ROCHE ELECSYS(R) 1010 AND 2010 IMMUNOASSAY ANALYZERS.","Total, Prostate Specific Antigen (Noncomplexed & Complexed) For Detection Of Prostate Cancer",Unknown,,3
P020056,S002,Allergan,2525 DUPONT DR.,,IRVINE,CA,92612,,"Prosthesis, breast, noninflatable, internal, silicone gel-filled",NATRELLE SILICONE-FILLED BREAST IMPLANTS,FTR,SU,"General, Plastic Surgery",Normal 180 Day Track,Change Design/Components/Specifications/Material,N,2007-02-23,2007-05-02,,,APPR,"APPROVAL FOR THE DIPHENYL PATCH DESIGN.  THE DEVICE, AS MODIFIED, WILL BE MARKETED UNDER THE TRADE NAME NATRELLE SILICONE-FILLED BREAST IMPLANTS AND IS INDICATED FOR BREAST AUGMENTATION FOR WOMEN AT LEAST 22 YEARS OLD AND FOR BREAST RECONSTRUCTION FOR WOMEN OF ANY AGE.  BREAST AUGMENTATION INCLUDES PRIMARY BREAST AUGMENTATION TO INCREASE THE BREAST SIZE, AS WELL AS REVISION SURGERY TO CORRECT OR IMPROVE THE RESULT OF A PRIMARY BREAST AUGMENTATION SURGERY.  BREAST RECONSTRUCTION INCLUDES PRIMARY RECONSTRUCTION TO REPLACE BREAST TISSUE THAT HAS BEEN REMOVED DUE TO CANCER OR TRAUMA OR THAT HAS FAILED TO DEVELOP PROPERLY DUE TO A SEVERE BREAST ABNORMALITY.  BREAST RECONSTRUCTION ALSO INCLUDES REVISION SURGERY TO CORRECT OR IMPROVE THE RESULT OF A PRIMARY BREAST RECONSTRUCTION SURGERY.","Prosthesis, Breast, Noninflatable, Internal, Silicone Gel-Filled","General, Plastic Surgery",878.3540,3
P110039,,InSightec,5 NAHUM HETH STREET,,TIRAT-CARMEL,,39120,,"Ablation system, high intensity focused ultrasound (HIFU), MR-guided",EXABLATE,NRZ,SU,"General, Plastic Surgery",,,Y,2011-12-05,2012-10-18,12M-1085,2012-11-08,APPR,"APPROVAL FOR THE EXABLATE SYSTEM, MODEL 2000/2100 /2100 VI. THIS DEVICE IS INDICATED FOR PAIN PALLIATION OF METASTATIC BONE CANCER IN PATIENTS 18 YEARS OF AGE OR OLDER WHO ARE  SUFFERING FROM BONE PAIN DUE TO METASTATIC DISEASE AND WHO ARC FAILURES OF STANDARD RADIATION THERAPY, OR NOT CANDIDATES FOR, OR REFUSED RADIATION THERAPY. THE BONE TUMOR TO BE TREATED MUST BE VISIBLE ON NON-CONTRAST MR AND DEVICE ACCESSIBLE.","Ablation System, High Intensity Focused Ultrasound (Hifu), Mr-Guided",Unknown,,3
P100039,S001,SIEMENS HEALTHCARE DIAGNOSTICS INC.,511 BENEDICT AVE.,,TARRYTOWN,NY,10591,,"Test, hepatitis b (b core, be antigen, be antibody, b core igm)",ADVIA CENTAUR ANTI-HBS2 ASSAY,LOM,MI,Microbiology,Normal 180 Day Track,Change Design/Components/Specifications/Material,N,2012-04-30,2013-10-03,,,APPR,"APPROVAL FOR THE ADVIA CENTAUR ANTI-HBS2 (AHBS2) ASSAY AND ADVIACENTAUR ANTI-HBS2 (AHBS2) QUALITY CONTROL MATERIAL FOR USE ON THE ADVIA CENTAUR CP INSTRUMENT. THE DEVICE, AS MODIFIED, WILL BE MARKETED UNDER THE TRADE NAME ADVIA CENTAUR ANTI-HBS2 (AHBS2) ASSAY AND ADVIA CENTAUR ANTI-HBS2 (AHBS2) QUALITY CONTROL MATERIALAND IS INDICATED FOR: ADVIA CENTAUR ANTI-HBS2 (AHBS2) ASSAY - THE ADVIA CENTAUR ANTI-HBS2 ASSAY IS AN IN VITRO DIAGNOSTIC IMMUNOASSAY FOR THE QUALITATIVE AND QUANTITATIVE DETERMINATION OF TOTAL ANTIBODIES TO HEPATITIS B SURFACE ANTIGEN IN HUMAN ADULT, ADOLESCENT, AND PEDIATRIC SERUM OR PLASMA (EDT A, LITHIUM-HEPARINIZED, OR SODIUM-HEPARINIZED) AND NEONATAL SAMPLES USING THE ADVIA CENTAUR CP SYSTEM. THE ASSAY RESULTS MAY BE USED AS AN AID IN THE DETERMINATION OF SUSCEPTIBILITY TO HEPATITIS B VIRUS (HBV) INFECTION IN INDIVIDUALS PRIOR TO OR FOLLOWING HBV VACCINATION OR WHERE VACCINATION STATUS IS UNKNOWN. ASSAY RESULTS MAY BE USED WITH OTHER HBV SEROLOGICAL MARKERS FOR THE LABORATORY DIAGNOSIS OF HBV DISEASE ASSOCIATED WITH HBV INFECTION. A REACTIVE ASSAY RESULT WILL ALLOW A DIFFERENTIAL DIAGNOSIS IN INDIVIDUALSDISPLAYING SIGNS AND SYMPTOMS OF HEPATITIS IN WHOM ETIOLOGY IS UNKNOWN. THIS ASSAY HAS NOT BEEN FDA-CLEARED OR APPROVED FOR THE SCREENING OF BLOOD OR PLASMA DONORS ADVIA CENTAUR ANTI-HBS2 (AHBS2) QUALITY CONTROL MATERIAL - FOR IN VITRO. DIAGNOSTIC USE IN MONITORING THE PERFORMANCE OF THE ANTI-HBS2 ASSAY ON THE ADVIACENTAUR SYSTEMS. THE PERFORMANCE OF THE ANTI-HBS2 QUALITY CONTROL MATERIAL HAS NOT BEEN ESTABLISHED WITH ANY OTHER ANTI-HBS ASSAYS.","Test, Hepatitis B (B Core, Be Antigen, Be Antibody, B Core Igm)",Unknown,,3
P030008,S017,"Alcon Laboratories, Inc.",6201 South Freeway,,Fort Worth,TX,76134,2099,Excimer laser system,ALLEGRETTO WAVE EYE-Q EXCIMER LASER SYSTEM,LZS,OP,Ophthalmic,Normal 180 Day Track,Change Design/Components/Specifications/Material,N,2015-02-02,2015-05-01,,,APPR,"APPROVAL TO EXPAND THE APPROVAL OF THE TOPOLYZER VARIO TO INCLUDE ITS USE AS A DIAGNOSTIC DEVICE SUPPORTING THE WAVELIGHT EXCIMER LASERS IN PERFORMING T-CAT LASIK. THE DEVICE, AS MODIFIED, WILL BE MARKETED UNDER THE TRADE NAME ALLEGRO TOPOLYZER VARIO AND IS INDICATED FOR THE WAVELIGHT ALLEGRETTO WAVE® EYE-Q EXCIMER LASER SYSTEM USED IN CONJUNCTION WITH THE WAVELIGHT ALLEGRO TOPOLYZER (TOPOGRAPHER) OR ALLEGRO TOPOLYZER VARIO (TOPOGRAPHER) AND T-CAT TREATMENT PLANNING SOFTWARE IS INDICATED FOR PERFORMING TOPOGRAPHY-GUIDED LASER ASSISTED IN SITU KERATOMILEUSIS (TOPO-GUIDED (T-CAT) LASIK):1) FOR THE REDUCTION OR ELIMINATION OF UP TO -9.00 DIOPTERS (D) OF SPHERICAL EQUIVALENT MYOPIA OR MYOPIA WITH ASTIGMATISM, WITH UP TO -8.00 D OF SPHERICAL COMPONENT AND UP TO -3.00 D OF ASTIGMATIC COMPONENT AT THE SPECTACLE PLANE;2) IN PATIENTS WHO ARE 18 YEARS OF AGE OR OLDER; AND3) IN PATIENTS WITH DOCUMENTATION OF A STABLE MANIFEST REFRACTION DEFINED AS 0.50 D OR LESS OF PREOPERATIVE SPHERICAL EQUIVALENT SHIFT OVER ONE YEAR PRIOR TO SURGERY.",Excimer Laser System,Unknown,,3
